condition,seed,view,feature_name,feature_index,mean_abs_shap,normalized_importance,rank,source_npz,aggregation_method,status,notes
Gear_30_2,42,frequency,cD2,4,0.00333593059686,0.292245138996,1,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,49,channel,ch2,0,0.00309789007787,0.185162461735,1,CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,49,channel,ch3,1,0.00287222924446,0.171674599228,2,CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,49,channel,ch4,2,0.00231939591225,0.138631470471,6,CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,49,channel,ch6,3,0.00283951432815,0.169719212082,3,CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,49,channel,ch7,4,0.00279929077794,0.167315030078,5,CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,49,channel,ch8,5,0.00280233904265,0.167497226406,4,CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,49,frequency,cA5,0,0.00137081903245,0.11852948823,5,CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,49,frequency,cD5,1,0.00162413235366,0.140432524016,4,CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,49,frequency,cD4,2,0.00213741822196,0.184814393428,3,CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,49,frequency,cD3,3,0.00270581861623,0.233961805485,2,CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_20_0,49,frequency,cD2,4,0.00372702692106,0.32226178884,1,CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,49,channel,ch2,0,0.00265427060306,0.175648953027,1,CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,49,channel,ch3,1,0.00264595873698,0.17509890716,2,CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,49,channel,ch4,2,0.00213098200057,0.141019817982,6,CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,49,channel,ch6,3,0.00256292757037,0.169604238505,4,CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,49,channel,ch7,4,0.0026052626013,0.172405800581,3,CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,49,channel,ch8,5,0.00251182208069,0.166222282745,5,CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,49,frequency,cA5,0,0.00121264569813,0.113788559363,5,CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,49,frequency,cD5,1,0.00156689349229,0.147029386603,4,CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,49,frequency,cD4,2,0.00211745934663,0.198691710971,3,CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,49,frequency,cD3,3,0.00241407591694,0.226524714684,2,CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Bearing_30_2,49,frequency,cD2,4,0.0033459345188,0.313965628381,1,CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,49,channel,ch2,0,0.0028620907825,0.164597282964,5,CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
Gear_20_0,49,channel,ch3,1,0.00296333177706,0.170419597452,4,CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz,"mean_abs_over_samples_channels_or_freq_time_class; freq_uses_shap_values[:,:,0:-1,:,:]",ok,"keys=['shap_dim_meaning', 'shap_values']; shape=(500, 6, 6, 512, 5); dtype=float64"
