condition,seed_or_average,view,feature_name,shap_rank,shap_importance,is_topk_shap,has_label_related_causal_edge,edge_direction_to_label,consistency_type,evidence_status,shap_source,dag_source,notes
Gear_20_0,across_existing_seeds,frequency,cD4,2,0.249576694348,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_20_0,across_existing_seeds,frequency,cD5,4,0.165101073212,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_30_2,across_existing_seeds,channel,ch2,3.6,0.164140654952,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_30_2,across_existing_seeds,channel,ch3,4.2,0.162176045856,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_30_2,across_existing_seeds,channel,ch4,3.2,0.170719290684,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_30_2,across_existing_seeds,channel,ch6,4.4,0.161868686711,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_30_2,across_existing_seeds,channel,ch7,3.4,0.167404735077,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_30_2,across_existing_seeds,channel,ch8,2.2,0.17369058672,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_30_2,across_existing_seeds,frequency,cA5,5,0.112799746356,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_30_2,across_existing_seeds,frequency,cD2,1,0.289919378007,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_30_2,across_existing_seeds,frequency,cD3,2,0.2257124468,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_30_2,across_existing_seeds,frequency,cD4,3,0.21175449608,True,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
Gear_30_2,across_existing_seeds,frequency,cD5,4,0.159813932757,False,unknown,unknown,unknown_missing_edge_table,needs_pcdag_edge_export,CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Gear_30_2.npz,DAG/PC_DAG/Seed_49,SHAP side is extracted; causal edge side is unknown because PC-DAG edge CSV is not persisted.
