condition,view,feature_name,mean_importance_across_seeds,std_importance_across_seeds,mean_rank,std_rank,topk_frequency,is_topk_shap,has_label_related_causal_edge,label_relation_type,edge_direction_to_label,consistency_type,evidence_strength,shap_source,edge_source,notes
Bearing_30_2,frequency,cD5,0.148919711499,0.00229073372882,4,0,0.000000,False,True,feature_to_label,cD5->label,low_shap_label_edge_underused_causal_feature,strong,CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_56/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_63/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_70/Bearing_30_2.npz,PC_Datasets/average/Bearing_30_2.csv,topk_threshold=2; label_edges=1
Gear_20_0,channel,ch2,0.162642462904,0.00621959590689,4.2,1.16619037897,0.400000,False,True,label_to_feature,label->ch2,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,PC_Datasets/Seed_49/Gear_20_0.csv,topk_threshold=2; label_edges=1
Gear_20_0,channel,ch3,0.165082441672,0.0124696613703,4,1.67332005307,0.200000,False,False,none,none,low_shap_no_label_edge_uninformative,moderate,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
Gear_20_0,channel,ch4,0.169455232876,0.0157613688578,3.2,1.72046505341,0.600000,False,True,label_to_feature,label->ch4,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,PC_Datasets/Seed_49/Gear_20_0.csv,topk_threshold=2; label_edges=1
Gear_20_0,channel,ch6,0.1622055163,0.0113342606026,4.2,1.46969384567,0.400000,False,True,label_to_feature,label->ch6,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,PC_Datasets/Seed_49/Gear_20_0.csv,topk_threshold=2; label_edges=1
Gear_20_0,channel,ch7,0.159120354256,0.0109782173388,4,1.41421356237,0.400000,False,False,none,none,low_shap_no_label_edge_uninformative,moderate,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
Gear_20_0,channel,ch8,0.181493991992,0.00493532592906,1.4,0.489897948557,1.000000,True,False,none,none,high_shap_no_label_edge_potential_shortcut,moderate,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,reports/paper_evidence/pcdag_edges/pcdag_edges_long.csv,topk_threshold=2; label_edges=0
Gear_20_0,frequency,cA5,0.107780445416,0.00971362334358,5,0,0.000000,False,True,label_to_feature|undirected_with_label,label->cA5|undirected_or_partially_oriented,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,PC_Datasets/Seed_49/Gear_20_0.csv|PC_Datasets/average/Gear_20_0.csv,topk_threshold=2; label_edges=2
Gear_20_0,frequency,cD2,0.275864807307,0.00529378380675,1,0,1.000000,True,True,label_to_feature,label->cD2,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,PC_Datasets/Seed_49/Gear_20_0.csv,topk_threshold=2; label_edges=1
Gear_20_0,frequency,cD3,0.201676979717,0.00528540821327,3,0,1.000000,False,True,label_to_feature,label->cD3,unknown_edge_direction,weak,CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_56/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_63/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_70/Gear_20_0.npz,PC_Datasets/Seed_49/Gear_20_0.csv|PC_Datasets/average/Gear_20_0.csv,topk_threshold=2; label_edges=2
